programs,slos,program,date,direct,indirect
Bilingual Program,Multiple Subjects,44000,2000.06,2.72,3.19
Bilingual Program,Multiple Subjects,44000,2000.07,1.58,1.62
Bilingual Program,Multiple Subjects,44000,2000.08,1.3,3.22
Bilingual Program,Multiple Subjects,44000,2000.09,3.41,2.04
Bilingual Program,Multiple Subjects,44000,2000.11,3.96,3.36
Bilingual Program,Multiple Subjects,44000,2000.12,1.2,1.72
Bilingual Program,Multiple Subjects,44000,2001.01,2.48,2.99
Bilingual Program,Multiple Subjects,44000,2001.02,2.6,2.08
Bilingual Program,Multiple Subjects,44000,2001.03,1.07,2.92
Bilingual Program,Multiple Subjects,44000,2001.04,1.72,3.51
Bilingual Program,Multiple Subjects,44000,2001.05,1.43,2.43
Bilingual Program,Multiple Subjects,44000,2001.06,3.2,2.87
Bilingual Program,Multiple Subjects,44000,2001.07,1.06,1.39
Bilingual Program,Multiple Subjects,44000,2001.08,2.8,2.77
Bilingual Program,Multiple Subjects,44000,2001.09,2.79,2.79
Bilingual Program,Multiple Subjects,44000,2001.11,2.3,3.32
Bilingual Program,Multiple Subjects,44000,2001.12,2.75,3.06
Bilingual Program,Multiple Subjects,44000,2002.01,3.36,2.9
Bilingual Program,Multiple Subjects,44000,2002.02,3.01,2.13
Bilingual Program,Multiple Subjects,44000,2002.03,1.28,1.39
Bilingual Program,Multiple Subjects,44000,2002.04,3.13,2.08
Bilingual Program,Multiple Subjects,44000,2002.05,1.82,3.16
Bilingual Program,Multiple Subjects,44000,2002.06,1.4,2.72
Bilingual Program,Multiple Subjects,44000,2002.07,3.02,1.8
Bilingual Program,Multiple Subjects,44000,2002.08,2.57,1.15
Bilingual Program,Multiple Subjects,44000,2002.09,3.48,3.47
Bilingual Program,Multiple Subjects,44000,2002.11,1.06,2.74
Bilingual Program,Multiple Subjects,44000,2002.12,3.42,1.23
Bilingual Program,Multiple Subjects,44000,2003.01,1.16,2.1
Bilingual Program,Multiple Subjects,44000,2003.02,3.61,1.78
Bilingual Program,Multiple Subjects,44000,2003.03,1.9,2.94
Bilingual Program,Multiple Subjects,44000,2003.04,1.46,3.48
Bilingual Program,Multiple Subjects,44000,2003.05,1.73,1.06
Bilingual Program,Multiple Subjects,44000,2003.06,1.7,1.65
Bilingual Program,Multiple Subjects,44000,2003.07,1.88,3.26
Bilingual Program,Multiple Subjects,44000,2003.08,3.02,2.64
Bilingual Program,Multiple Subjects,44000,2003.09,1.12,1.33
Bilingual Program,Multiple Subjects,44000,2003.11,3.77,2.4
Bilingual Program,Multiple Subjects,44000,2003.12,1.23,1.75
Bilingual Program,Multiple Subjects,44000,2004.01,2.74,2.77
Bilingual Program,Multiple Subjects,44000,2004.02,3.2,2.16
Bilingual Program,Multiple Subjects,44000,2004.03,2.83,1.55
Bilingual Program,Multiple Subjects,44000,2004.04,3.39,1.37
Bilingual Program,Multiple Subjects,44000,2004.05,1.65,2.1
Bilingual Program,Multiple Subjects,44000,2004.06,2.65,2.94
Bilingual Program,Multiple Subjects,44000,2004.07,2.81,2
Bilingual Program,Multiple Subjects,44000,2004.08,1.67,3.87
Bilingual Program,Multiple Subjects,44000,2004.09,3.76,3.84
Bilingual Program,Multiple Subjects,44000,2004.11,2.56,3.68
Bilingual Program,Multiple Subjects,44000,2004.12,2.4,2.64
Bilingual Program,Multiple Subjects,44000,2005.01,3.56,2.65
Bilingual Program,Multiple Subjects,44000,2005.02,3.23,3.27
Bilingual Program,Multiple Subjects,44000,2005.03,2.36,2.11
Bilingual Program,Multiple Subjects,44000,2005.04,2.02,1.52
Bilingual Program,Multiple Subjects,44000,2005.05,1.24,2.77
Bilingual Program,Multiple Subjects,44000,2005.06,2.22,3.94
Bilingual Program,Multiple Subjects,44000,2005.07,2.83,3.71
Bilingual Program,Multiple Subjects,44000,2005.08,1.05,1.14
Bilingual Program,Multiple Subjects,44000,2005.09,3.34,2.95
Bilingual Program,Multiple Subjects,44000,2005.11,3.34,1.39
Bilingual Program,Multiple Subjects,44000,2005.12,3.88,3.08
Bilingual Program,Multiple Subjects,44000,2006.01,3.48,1.18
Bilingual Program,Multiple Subjects,44000,2006.02,2.91,2.9
Bilingual Program,Multiple Subjects,44000,2006.03,2.31,2.31
Bilingual Program,Multiple Subjects,44000,2006.04,3.15,3.36
Bilingual Program,Multiple Subjects,44000,2006.05,2.83,3.29
Bilingual Program,Multiple Subjects,44000,2006.06,3.45,3.25
Bilingual Program,Multiple Subjects,44000,2006.07,2.94,1.05
Bilingual Program,Multiple Subjects,44000,2006.08,2.63,3.45
Bilingual Program,Multiple Subjects,44000,2006.09,3.18,2.54
Bilingual Program,Multiple Subjects,44000,2006.11,2.45,2.58
Bilingual Program,Multiple Subjects,44000,2006.12,3.5,3.05
Bilingual Program,Multiple Subjects,44000,2007.01,2.88,2.28
Bilingual Program,Multiple Subjects,44000,2007.02,3.43,3.76
Bilingual Program,Multiple Subjects,44000,2007.03,1.85,3.42
Bilingual Program,Multiple Subjects,44000,2007.04,3.29,1.49
Bilingual Program,Multiple Subjects,44000,2007.05,1.47,2.38
Bilingual Program,Multiple Subjects,44000,2007.06,2.09,1.15
Bilingual Program,Multiple Subjects,44000,2007.07,1.53,2.05
Bilingual Program,Multiple Subjects,44000,2007.08,1.65,3.83
Bilingual Program,Multiple Subjects,44000,2007.09,4,3.6
Bilingual Program,Multiple Subjects,44000,2007.11,1.81,2.95
Bilingual Program,Multiple Subjects,44000,2007.12,1.95,1.61
Bilingual Program,Multiple Subjects,44000,2008.01,1.02,1.41
Bilingual Program,Multiple Subjects,44000,2008.02,2.12,2.35
Bilingual Program,Multiple Subjects,44000,2008.03,1.55,1.48
Bilingual Program,Multiple Subjects,44000,2008.04,3.92,3.28
Bilingual Program,Multiple Subjects,44000,2008.05,1.64,1.64
Bilingual Program,Multiple Subjects,44000,2008.06,1.97,3.21
Bilingual Program,Multiple Subjects,44000,2008.07,3.99,1.01
Bilingual Program,Multiple Subjects,44000,2008.08,3.88,3.54
Bilingual Program,Multiple Subjects,44000,2008.09,2.68,1.16
Bilingual Program,Multiple Subjects,44000,2008.11,2.98,2.73
Bilingual Program,Multiple Subjects,44000,2008.12,2.94,2.55
Bilingual Program,Multiple Subjects,44000,2009.01,3.68,1.86
Bilingual Program,Multiple Subjects,44000,2009.02,1.35,2.69
Bilingual Program,Multiple Subjects,44000,2009.03,1.47,1.07
Bilingual Program,Multiple Subjects,44000,2009.04,1.12,2.65
Bilingual Program,Multiple Subjects,44000,2009.05,2.65,1.08
Bilingual Program,Multiple Subjects,44000,2009.06,3.69,2.47
Bilingual Program,Multiple Subjects,44000,2009.07,1.44,3.87
Bilingual Program,Multiple Subjects,44000,2009.08,1.7,3.69
Bilingual Program,Multiple Subjects,44000,2009.09,2.64,2.82
Bilingual Program,Multiple Subjects,44000,2009.11,3.05,1.48
Bilingual Program,Multiple Subjects,44000,2009.12,1.92,1.54
Bilingual Program,Multiple Subjects,44000,2010.01,1.41,3.89
Bilingual Program,Multiple Subjects,44000,2010.02,1.92,3.74
Bilingual Program,Multiple Subjects,44000,2010.03,3.78,1.62
Bilingual Program,Multiple Subjects,44000,2010.04,3.86,2.64
Bilingual Program,Multiple Subjects,44000,2010.05,3.25,3.09
Bilingual Program,Multiple Subjects,44000,2010.06,3.11,3.34
Bilingual Program,Multiple Subjects,44000,2010.07,3.8,2.83
Bilingual Program,Multiple Subjects,44000,2010.08,2.75,3.79
Bilingual Program,Multiple Subjects,44000,2010.09,3.66,1.17
Bilingual Program,Multiple Subjects,44000,2010.11,2.65,2.77
Bilingual Program,Multiple Subjects,44000,2010.12,1.37,2.06
Bilingual Program,Multiple Subjects,44100,1992.01,3.93,1.18
Bilingual Program,Multiple Subjects,44100,1992.02,3.87,3.02
Bilingual Program,Multiple Subjects,44100,1992.03,2.75,2.86
Bilingual Program,Multiple Subjects,44100,1992.04,2.6,2.23
Bilingual Program,Multiple Subjects,44100,1992.05,3.8,2.07
Bilingual Program,Multiple Subjects,44100,1992.06,3.97,2.86
Bilingual Program,Multiple Subjects,44100,1992.07,4,1.12
Bilingual Program,Multiple Subjects,44100,1992.08,1.91,3.32
Bilingual Program,Multiple Subjects,44100,1992.09,2.01,3.82
Bilingual Program,Multiple Subjects,44100,1992.11,3.71,1.58
Bilingual Program,Multiple Subjects,44100,1992.12,1.92,2.59
Bilingual Program,Multiple Subjects,44100,1993.01,2.92,2.7
Bilingual Program,Multiple Subjects,44100,1993.02,3.12,2.55
Bilingual Program,Multiple Subjects,44100,1993.03,2.71,2.56
Bilingual Program,Multiple Subjects,44100,1993.04,1.91,3.45
Bilingual Program,Multiple Subjects,44100,1993.05,1.72,1.95
Bilingual Program,Multiple Subjects,44100,1993.06,1.34,2.03
Bilingual Program,Multiple Subjects,44100,1993.07,1.51,2.59
Bilingual Program,Multiple Subjects,44100,1993.08,1.76,3.52
Bilingual Program,Multiple Subjects,44100,1993.09,1.61,1.09
Bilingual Program,Multiple Subjects,44100,1993.11,1.76,2.45
Bilingual Program,Multiple Subjects,44100,1993.12,3.91,1.05
Bilingual Program,Multiple Subjects,44100,1994.01,2.22,2.22
Bilingual Program,Multiple Subjects,44100,1994.02,1.65,1.62
Bilingual Program,Multiple Subjects,44100,1994.03,2.63,2.57
Bilingual Program,Multiple Subjects,44100,1994.04,3.75,2.23
Bilingual Program,Multiple Subjects,44100,1994.05,3.02,3.47
Bilingual Program,Multiple Subjects,44100,1994.06,3.8,1.55
Bilingual Program,Multiple Subjects,44100,1994.07,1.94,2.54
Bilingual Program,Multiple Subjects,44100,1994.08,3.61,2.62
Bilingual Program,Multiple Subjects,44100,1994.09,3.99,1.83
Bilingual Program,Multiple Subjects,44100,1994.11,3.24,2.21
Bilingual Program,Multiple Subjects,44100,1994.12,4,3.81
Bilingual Program,Multiple Subjects,44100,1995.01,3.25,2.84
Bilingual Program,Multiple Subjects,44100,1995.02,3.82,1.16
Bilingual Program,Multiple Subjects,44100,1995.03,2.49,1.57
Bilingual Program,Multiple Subjects,44100,1995.04,1.54,1.88
Bilingual Program,Multiple Subjects,44100,1995.05,1.33,1.13
Bilingual Program,Multiple Subjects,44100,1995.06,3.58,2.55
Bilingual Program,Multiple Subjects,44100,1995.07,2.06,3.55
Bilingual Program,Multiple Subjects,44100,1995.08,3.95,3.24
Bilingual Program,Multiple Subjects,44100,1995.09,1.65,3.47
Bilingual Program,Multiple Subjects,44100,1995.11,2.31,2.44
Bilingual Program,Multiple Subjects,44100,1995.12,3.2,2.38
Bilingual Program,Multiple Subjects,44100,1996.01,2.72,2.6
Bilingual Program,Multiple Subjects,44100,1996.02,2.36,3.36
Bilingual Program,Multiple Subjects,44100,1996.03,2.41,3.32
Bilingual Program,Multiple Subjects,44100,1996.04,2.95,2.03
Bilingual Program,Multiple Subjects,44100,1996.05,2.69,2.13
Bilingual Program,Multiple Subjects,44100,1996.06,3.02,1.46
Bilingual Program,Multiple Subjects,44100,1996.07,3.33,3.32
Bilingual Program,Multiple Subjects,44100,1996.08,3.62,2.77
Bilingual Program,Multiple Subjects,44100,1996.09,2.54,2.36
Bilingual Program,Multiple Subjects,44100,1996.11,2.75,3.04
Bilingual Program,Multiple Subjects,44100,1996.12,2.21,3.31
Bilingual Program,Multiple Subjects,44100,1997.01,3.68,1.55
Bilingual Program,Multiple Subjects,44100,1997.02,1.59,1.66
Bilingual Program,Multiple Subjects,44100,1997.03,3.2,2.87
Bilingual Program,Multiple Subjects,44100,1997.04,1.18,3.11
Bilingual Program,Multiple Subjects,44100,1997.05,1.84,1.63
Bilingual Program,Multiple Subjects,44100,1997.06,2.16,3.71
Bilingual Program,Multiple Subjects,44100,1997.07,2.12,3.7
Bilingual Program,Multiple Subjects,44100,1997.08,2.65,1.05
Bilingual Program,Multiple Subjects,44100,1997.09,3.42,2.84
Bilingual Program,Multiple Subjects,44100,1997.11,3.07,1.95
Bilingual Program,Multiple Subjects,44100,1997.12,2.32,2.57
Bilingual Program,Multiple Subjects,44100,1998.01,2.25,2.97
Bilingual Program,Multiple Subjects,44100,1998.02,3.62,3.38
Bilingual Program,Multiple Subjects,44100,1998.03,3.36,3.15
Bilingual Program,Multiple Subjects,44100,1998.04,2.18,2.97
Bilingual Program,Multiple Subjects,44100,1998.05,2.6,1.95
Bilingual Program,Multiple Subjects,44100,1998.06,3.32,2.38
Bilingual Program,Multiple Subjects,44100,1998.07,1.59,3.48
Bilingual Program,Multiple Subjects,44100,1998.08,3.59,1.59
Bilingual Program,Multiple Subjects,44100,1998.09,1.84,3.68
Bilingual Program,Multiple Subjects,44100,1998.11,3.41,2.73
Bilingual Program,Multiple Subjects,44100,1998.12,1.72,2.15
Bilingual Program,Multiple Subjects,44100,1999.01,2.53,2.2
Bilingual Program,Multiple Subjects,44100,1999.02,1.87,2.05
Bilingual Program,Multiple Subjects,44100,1999.03,3.76,2.47
Bilingual Program,Multiple Subjects,44100,1999.04,1.73,2.52
Bilingual Program,Multiple Subjects,44100,1999.05,2.2,3.88
Bilingual Program,Multiple Subjects,44100,1999.06,1.48,1.81
Bilingual Program,Multiple Subjects,44100,1999.07,2.46,3.76
Bilingual Program,Multiple Subjects,44100,1999.08,2.24,2.49
Bilingual Program,Multiple Subjects,44100,1999.09,3.7,1.31
Bilingual Program,Multiple Subjects,44100,1999.11,2.56,3.82
Bilingual Program,Multiple Subjects,44100,1999.12,2.49,2.15
Bilingual Program,Multiple Subjects,44100,2000.01,1.98,1.69
Bilingual Program,Multiple Subjects,44100,2000.02,2.78,3.5
Bilingual Program,Multiple Subjects,44100,2000.03,2.19,1.57
Bilingual Program,Multiple Subjects,44100,2000.04,2.02,1.79
Bilingual Program,Multiple Subjects,44100,2000.05,2.96,2.5
Bilingual Program,Multiple Subjects,44100,2000.06,2.93,1.23
Bilingual Program,Multiple Subjects,44100,2000.07,2.57,1.96
Bilingual Program,Multiple Subjects,44100,2000.08,1.1,3.38
Bilingual Program,Multiple Subjects,44100,2000.09,2.75,3.14
Bilingual Program,Multiple Subjects,44100,2000.11,1.37,3.52
Bilingual Program,Multiple Subjects,44100,2000.12,3.7,2.04
Bilingual Program,Multiple Subjects,44100,2001.01,1.54,2.04
Bilingual Program,Multiple Subjects,44100,2001.02,3.41,1.87
Bilingual Program,Multiple Subjects,44100,2001.03,3.16,2.04
Bilingual Program,Multiple Subjects,44100,2001.04,2.03,1.53
Bilingual Program,Multiple Subjects,44100,2001.05,3.01,2.7
Bilingual Program,Multiple Subjects,44100,2001.06,2.77,2.77
Bilingual Program,Multiple Subjects,44100,2001.07,2.35,2.91
Bilingual Program,Multiple Subjects,44100,2001.08,1.28,3.11
Bilingual Program,Multiple Subjects,44100,2001.09,3.83,1.04
Bilingual Program,Multiple Subjects,44100,2001.11,3.52,1
Bilingual Program,Multiple Subjects,44100,2001.12,2.22,1.95
Bilingual Program,Multiple Subjects,44100,2002.01,1.13,1.15
Bilingual Program,Multiple Subjects,44100,2002.02,3.65,2.93
Bilingual Program,Multiple Subjects,44100,2002.03,3.33,2.59
Bilingual Program,Multiple Subjects,44100,2002.04,3.24,2.74
Bilingual Program,Multiple Subjects,44100,2002.05,1.5,3.02
Bilingual Program,Multiple Subjects,44100,2002.06,1.4,2.77
Bilingual Program,Multiple Subjects,44100,2002.07,3.51,2
Bilingual Program,Multiple Subjects,44100,2002.08,2.05,2.59
Bilingual Program,Multiple Subjects,44100,2002.09,2.6,2.68
Bilingual Program,Multiple Subjects,44100,2002.11,3.13,1.9
Bilingual Program,Multiple Subjects,44100,2002.12,2.6,1.54
Bilingual Program,Multiple Subjects,44100,2003.01,1.48,3.17
Bilingual Program,Multiple Subjects,44100,2003.02,1.31,3.45
Bilingual Program,Multiple Subjects,44100,2003.03,1.79,2.31
Bilingual Program,Multiple Subjects,44100,2003.04,3.97,2.26
Bilingual Program,Multiple Subjects,44100,2003.05,1.86,1.63
Bilingual Program,Multiple Subjects,44100,2003.06,2,1.98
Bilingual Program,Multiple Subjects,44100,2003.07,3.3,3.02
Bilingual Program,Multiple Subjects,44100,2003.08,1.16,1.4
Bilingual Program,Multiple Subjects,44100,2003.09,2.03,2.36
Bilingual Program,Multiple Subjects,44100,2003.11,2.96,1.97
Bilingual Program,Multiple Subjects,44100,2003.12,1.7,1.03
Bilingual Program,Multiple Subjects,44100,2004.01,3.96,1.56
Bilingual Program,Multiple Subjects,44100,2004.02,3.85,2.61
Bilingual Program,Multiple Subjects,44100,2004.03,2.9,2.56
Bilingual Program,Multiple Subjects,44100,2004.04,2.04,1.14
Bilingual Program,Multiple Subjects,44100,2004.05,1.87,2.48
Bilingual Program,Multiple Subjects,44100,2004.06,1.2,3.41
Bilingual Program,Multiple Subjects,44100,2004.07,3.84,2.61
Bilingual Program,Multiple Subjects,44100,2004.08,1.38,2.06
Bilingual Program,Multiple Subjects,44100,2004.09,2.3,2.16
Bilingual Program,Multiple Subjects,44100,2004.11,2.26,2.88
Bilingual Program,Multiple Subjects,44100,2004.12,2.39,3.34
Bilingual Program,Multiple Subjects,44100,2005.01,1.24,1.31
Bilingual Program,Multiple Subjects,44100,2005.02,3.23,3.12
Bilingual Program,Multiple Subjects,44100,2005.03,2.38,1.98
Bilingual Program,Multiple Subjects,44100,2005.04,2.49,1.26
Bilingual Program,Multiple Subjects,44100,2005.05,2.61,2.25
Bilingual Program,Multiple Subjects,44100,2005.06,2.87,3.03
Bilingual Program,Multiple Subjects,44100,2005.07,3.38,2.13
Bilingual Program,Multiple Subjects,44100,2005.08,2.14,2.72
Bilingual Program,Multiple Subjects,44100,2005.09,1.94,2.08
Bilingual Program,Multiple Subjects,44100,2005.11,3.83,3.81
Bilingual Program,Multiple Subjects,44100,2005.12,2.08,2.79
Bilingual Program,Multiple Subjects,44100,2006.01,2.45,1.19
Bilingual Program,Multiple Subjects,44100,2006.02,1.86,2.56
Bilingual Program,Multiple Subjects,44100,2006.03,1.28,3.29
Bilingual Program,Multiple Subjects,44100,2006.04,3.47,2.07
Bilingual Program,Multiple Subjects,44100,2006.05,3.76,2.83
Bilingual Program,Multiple Subjects,44100,2006.06,2.01,2.48
Bilingual Program,Multiple Subjects,44100,2006.07,2.79,3.32
Bilingual Program,Multiple Subjects,44100,2006.08,2.92,3.29
Bilingual Program,Multiple Subjects,44100,2006.09,1.98,1.27
Bilingual Program,Multiple Subjects,44100,2006.11,2.65,1.85
Bilingual Program,Multiple Subjects,44100,2006.12,3.45,2.69
Bilingual Program,Multiple Subjects,44100,2007.01,2.52,2.76
Bilingual Program,Multiple Subjects,44100,2007.02,2.49,3.07
Bilingual Program,Multiple Subjects,44100,2007.03,1.59,2.53
Bilingual Program,Multiple Subjects,44100,2007.04,2.72,3.29
Bilingual Program,Multiple Subjects,44100,2007.05,3.68,1.27
Bilingual Program,Multiple Subjects,44100,2007.06,2.69,1.41
Bilingual Program,Multiple Subjects,44100,2007.07,1.55,2.71
Bilingual Program,Multiple Subjects,44100,2007.08,2.07,2.65
Bilingual Program,Multiple Subjects,44100,2007.09,3.94,3.67
Bilingual Program,Multiple Subjects,44100,2007.11,2.01,3.39
Bilingual Program,Multiple Subjects,44100,2007.12,1.79,1.55
Bilingual Program,Multiple Subjects,44100,2008.01,2.17,2.39
Bilingual Program,Multiple Subjects,44100,2008.02,3.05,2.78
Bilingual Program,Multiple Subjects,44100,2008.03,1.28,2.24
Bilingual Program,Multiple Subjects,44100,2008.04,1.57,3.35
Bilingual Program,Multiple Subjects,44100,2008.05,2.8,3.74
Bilingual Program,Multiple Subjects,44100,2008.06,1.31,2.13
Bilingual Program,Multiple Subjects,44100,2008.07,1.03,2.76
Bilingual Program,Multiple Subjects,44100,2008.08,3.8,2.69
Bilingual Program,Multiple Subjects,44100,2008.09,1.54,1.21
Bilingual Program,Multiple Subjects,44100,2008.11,1.79,3.14
Bilingual Program,Multiple Subjects,44100,2008.12,1.96,3.34
Bilingual Program,Multiple Subjects,44100,2009.01,2.15,3.67
Bilingual Program,Multiple Subjects,44100,2009.02,2.31,1.21
Bilingual Program,Multiple Subjects,44100,2009.03,3.34,1.16
Bilingual Program,Multiple Subjects,44100,2009.04,2.99,2.94
Bilingual Program,Multiple Subjects,44100,2009.05,3.03,3.66
Bilingual Program,Multiple Subjects,44100,2009.06,3.71,2.1
Bilingual Program,Multiple Subjects,44100,2009.07,3.84,1.45
Bilingual Program,Multiple Subjects,44100,2009.08,2.02,3.47
Bilingual Program,Multiple Subjects,44100,2009.09,1.09,2.51
Bilingual Program,Multiple Subjects,44100,2009.11,1.13,2.77
Bilingual Program,Multiple Subjects,44100,2009.12,2.27,1.41
Bilingual Program,Multiple Subjects,44100,2010.01,1.65,3.31
Bilingual Program,Multiple Subjects,44100,2010.02,1.48,2.54
Bilingual Program,Multiple Subjects,44100,2010.03,2.23,3.12
Bilingual Program,Multiple Subjects,44100,2010.04,1.32,1.89
Bilingual Program,Multiple Subjects,44100,2010.05,3.07,1.72
Bilingual Program,Multiple Subjects,44100,2010.06,3.98,2.55
Bilingual Program,Multiple Subjects,44100,2010.07,1.32,3.78
Bilingual Program,Multiple Subjects,44100,2010.08,1.01,3.37
Bilingual Program,Multiple Subjects,44100,2010.09,3.88,3.89
Bilingual Program,Multiple Subjects,44100,2010.11,1.22,2.48
Bilingual Program,Multiple Subjects,44100,2010.12,1.83,3.62
Bilingual Program,Multiple Subjects,44200,1992.01,2.27,2.29
Bilingual Program,Multiple Subjects,44200,1992.02,2,1.63
Bilingual Program,Multiple Subjects,44200,1992.03,2.95,2.45
Bilingual Program,Multiple Subjects,44200,1992.04,3.14,2.93
Bilingual Program,Multiple Subjects,44200,1992.05,3.15,1.95
